ID,name_product,price_product,number_purchaser,name_store,address
1,HLA/海澜之家结婚新郎鞋增高德比鞋男春秋商务加绒百搭正装皮鞋,299.00元,5000+人收货,海澜之家鞋类旗舰店,福建
2,HLA/海澜之家男鞋皮面板鞋时尚休闲皮鞋百搭流行春秋英伦风鞋子男,259.00元,5000+人收货,海澜之家鞋类旗舰店,福建
3,MRA德比鞋男低帮马丁靴英伦风圆头大头鞋黑色工装鞋厚底休闲皮鞋,169.90元,4000+人收货,mra旗舰店,浙江
4,马登德比鞋男厚底增高黑色圆头英伦风高级感大头休闲低帮马丁皮鞋,169.90元,3000+人收货,马登旗舰店,浙江
5,英伦男鞋男士伴郎黑色新郎商务正装西装冬季加绒休闲皮鞋男结婚鞋,29.90元,2000+人收货,奥莱塔旗舰店,浙江
6,啄木鸟皮鞋男鞋真皮新款正装秋冬季加绒棉鞋休闲防滑中老年爸爸鞋,99.00元,2000+人收货,啄木鸟中国直销店,浙江
7,骆驼2024牛皮商务休闲舒适软底耐磨送礼正装中年爸爸男士加绒皮鞋,669.00元,2000+人收货,骆驼服饰旗舰店,广东
8,冬季商务正装皮鞋男英伦风加绒真皮休闲软底新郎结婚内增高西装鞋,69.00元,2000+人收货,蒙都羊旗舰店,浙江
9,皮鞋男秋季新款商务正装真皮男士皮鞋休闲透气软底软面英伦结婚鞋,99.00元,2000+人收货,佐丹臣旗舰店,浙江
10,意尔康男鞋真皮商务休闲透气皮鞋男士中年爸爸单鞋老人鞋舒适父亲,309.90元,2000+人收货,意尔康皮鞋旗舰店,浙江
11,百丽男鞋春夏正装皮鞋男款真皮德比鞋内增高结婚新郎鞋子10822CM8,669.00元,1000+人收货,百丽男鞋旗舰店,广东
12,老人头皮鞋男真皮春夏中老年爸爸鞋大码男鞋透气厚底商务休闲,258.00元,1000+人收货,老人头梦娇特专卖店,广东
13,皮鞋男款商务正装英伦风休闲真皮软底黑色增高男士西装结婚新郎鞋,109.00元,1000+人收货,PIANOBOY旗舰店,浙江
14,品牌断码男鞋春季2024新款运动鞋男网面夏季透气黑色休闲跑步单鞋,88.00元,1000+人收货,MAC JODN正品男鞋,广东
15,冬季男士皮鞋男真皮正装内增高加绒保暖棉鞋黑色商务休闲爸爸鞋子,129.00元,1000+人收货,PFGPIERD品牌店,浙江
16,红蜻蜓旗舰店皮鞋春秋季男鞋真皮大码鞋子加绒舒适中老年爸爸棉鞋,349.00元,1000+人收货,红蜻蜓品牌旗舰店,浙江
17,西装皮鞋男款春秋英伦风商务正装学生增高休闲软底防水黑色大头鞋,34.00元,1000+人收货,侠路旗舰店,福建
18,奥康男鞋春夏款商务休闲皮鞋男真皮软面舒适办公室百搭通勤鞋,369.00元,1000+人收货,奥康鞋业旗舰店,浙江
19,老人头男鞋春夏皮鞋男中年商务休闲皮鞋透气牛筋底真皮软底爸爸鞋,218.00元,1000+人收货,老人头梦娇特专卖店,广东
