ID,name_product,price_product,number_purchaser,name_store,address
1,Apple/苹果 iPhone 15 Pro Max新款5G手机官方国行正品百亿补贴,8268.00元,10万+人收货,百亿补贴官方频道,浙江
2,Apple/苹果 iPhone 15 Pro全网通5G手机新品原装官方正品百亿补贴,7348.00元,6万+人收货,百亿补贴官方频道,浙江
3,Apple/苹果 iPhone 15 新品5G手机全新原装正品全网通国行苹果15,5799.00元,5万+人收货,百亿补贴官方频道,浙江
4,Apple/苹果 iPhone 15,5999.00元,0,Apple Store 官方旗舰店,上海
5,honor/荣耀X50 5G智能手机荣耀手机百亿补贴大电池官网正品老人机,1099.00元,3万+人收货,百亿补贴官方频道,浙江
6,Apple/苹果 iPhone 15 Pro Max,9999.00元,0,Apple Store 官方旗舰店,上海
7,【赠碎屏保】Redmi Note 13 Pro手机小米2亿像素红米智能新春老年备用note小米官方旗舰店官网13pro好运红,1399.00元,2万+人收货,小米官方旗舰店,北京
8,Apple/苹果 iPhone 15 Pro,7999.00元,0,Apple Store 官方旗舰店,上海
9,【限量赠充电宝】Redmi K70红米手机小米手机官方旗舰店K60红米k70小米k70高通骁龙8Gen2澎湃OS,2499.00元,2万+人收货,小米官方旗舰店,北京
10,【官网】荣耀X50 新品5G智能手机全球首款瑞士SGS整机五星抗跌耐摔认证 5800mAh大电池官方,1299.00元,2万+人收货,荣耀官方旗舰店,广东
11,小米 Redmi Note 12 Turbo手机红米官方正品官网新品5G学生闪充,1858.00元,1万+人收货,百亿补贴官方频道,浙江
12,【旗舰】华为/HUAWEI Mate 60 Pro 智能手机新品,7999.00元,0,华为官方旗舰店,广东
13,【购机享6期免息】vivo iQOO Neo9新品手机第二代骁龙8官方旗舰店正品智能5g学生游戏neo8,2299.00元,1万+人收货,iQOO手机官方旗舰店,广东
14,MIUI/小米 Redmi K70 新款红米5G手机小米手机百亿补贴官方正品,2299.00元,1万+人收货,百亿补贴官方频道,浙江
15,【 限时买赠399元尊享礼盒】小米14手机新品新款上市小米官方旗舰店官网高通骁龙8Gen3小米汽车同款定制色,3999.00元,1万+人收货,小米官方旗舰店,北京
16,Apple/苹果 iPhone 15 Pro Max,9999.00元,1万+人收货,强盛手机企业店,上海
17,【指定整点抢五折】Redmi Note 13 5G手机1亿像素红米note手机小米小米官方旗舰店官网新品note13,999.00元,1万+人收货,小米官方旗舰店,北京
18,【立即抢购】Redmi Note 12 Turbo手机红米小米note拍照游戏智能旗舰直屏小米官方旗舰店官网新品12t,1599.00元,1万+人收货,小米官方旗舰店,北京
19,Redmi红米Note 13 Pro新款5g手机官网正品百亿补贴小米note13pro,1276.00元,1万+人收货,百亿补贴官方频道,浙江
